title,link,summary_raw,published_time,image_url,source,summary_cleaned,summary_not_stop_word,topic_cluster
"Làm ăn thua lỗ, giám đốc mua ma túy về bán kiếm lời",https://vnexpress.net/lam-an-thua-lo-giam-doc-mua-ma-tuy-ve-ban-kiem-loi-4898877.html,"<a href=""https://vnexpress.net/lam-an-thua-lo-giam-doc-mua-ma-tuy-ve-ban-kiem-loi-4898877.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/z6687211377307-7a93edbf5cbd693-9417-2009-1749893333.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=gTgo10BVLvpoogCZaBJ4tQ"" /></a>Hoàng Thụy Điển, giám đốc một doanh nghiệp tư nhân, khai do làm ăn thua lỗ nên thuê phòng trọ để mua bán ma túy nhằm kiếm lời.",2025-06-14T16:39:49+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/z6687211377307-7a93edbf5cbd693-9417-2009-1749893333.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=gTgo10BVLvpoogCZaBJ4tQ,Vnexpress,hoàng thụy điển giám đốc một doanh nghiệp tư nhân khai do làm ăn thua lỗ nên thuê phòng trọ để mua bán ma túy nhằm kiếm lời,hoàng thụy điển giám_đốc doanh_nghiệp tư_nhân khai làm_ăn_thua_lỗ thuê phòng trọ mua_bán ma_túy nhằm kiếm lời,1
"Thủ tướng: Trung ương kiến tạo, địa phương vận hành sau sáp nhập",https://vnexpress.net/thu-tuong-trung-uong-kien-tao-dia-phuong-van-hanh-sau-sap-nhap-4898870.html,"<a href=""https://vnexpress.net/thu-tuong-trung-uong-kien-tao-dia-phuong-van-hanh-sau-sap-nhap-4898870.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/1d6e9a2a5a83eeddb792-174987951-9150-2462-1749893404.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=iOwLeW3l1ZbaHroppNdVwA"" /></a>Thủ tướng Phạm Minh Chính nhấn mạnh nguyên tắc “Trung ương kiến tạo, địa phương vận hành” trong cuộc cách mạng sắp xếp bộ máy, yêu cầu các cấp chuyển từ bị động sang chủ động, sát dân, hiệu quả hơn.",2025-06-14T16:30:37+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/1d6e9a2a5a83eeddb792-174987951-9150-2462-1749893404.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=iOwLeW3l1ZbaHroppNdVwA,Vnexpress,thủ tướng phạm minh chính nhấn mạnh nguyên tắc trung ương kiến tạo địa phương vận hành trong cuộc cách mạng sắp xếp bộ máy yêu cầu các cấp chuyển từ bị động sang chủ động sát dân hiệu quả hơn,thủ_tướng phạm minh nhấn_mạnh nguyên_tắc trung_ương kiến_tạo địa_phương vận_hành cách_mạng sắp_xếp bộ_máy yêu_cầu cấp chuyển bị_động sang chủ_động sát dân hiệu_quả,2
Nestlé Việt Nam bị phạt 80 triệu đồng do vi phạm quảng cáo,https://vnexpress.net/nestle-viet-nam-bi-phat-80-trieu-dong-do-vi-pham-quang-cao-4898871.html,"<a href=""https://vnexpress.net/nestle-viet-nam-bi-phat-80-trieu-dong-do-vi-pham-quang-cao-4898871.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/7b060f73d231666f3f20-174989057-2009-5977-1749891099.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=gIvLhShwkceUtkveDh2E_w"" /></a>Công ty TNHH Nestlé Việt Nam bị xử phạt 80 triệu đồng do cung cấp thông tin sai lệch và sử dụng từ ngữ quảng cáo vi phạm quy định bảo vệ quyền lợi người tiêu dùng.",2025-06-14T16:13:48+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/7b060f73d231666f3f20-174989057-2009-5977-1749891099.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=gIvLhShwkceUtkveDh2E_w,Vnexpress,công ty tnhh nestlé việt nam bị xử phạt 80 triệu đồng do cung cấp thông tin sai lệch và sử dụng từ ngữ quảng cáo vi phạm quy định bảo vệ quyền lợi người tiêu dùng,công_ty_tnhh nestlé việt_nam xử_phạt 80 triệu đồng cung_cấp thông_tin sai_lệch sử_dụng từ_ngữ quảng_cáo vi_phạm_quy_định bảo_vệ quyền_lợi tiêu_dùng,1
Kỳ thủ Việt Nam tự đập vào đầu khi thua ở giải thế giới,https://vnexpress.net/ky-thu-viet-nam-tu-dap-vao-dau-khi-thua-o-giai-the-gioi-4898866.html,"<a href=""https://vnexpress.net/ky-thu-viet-nam-tu-dap-vao-dau-khi-thua-o-giai-the-gioi-4898866.html""><img src=""https://i1-thethao.vnecdn.net/2025/06/14/le-tua-n-minh-1749891504-6873-1749891956.gif?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=EwJhfiRfHp2oAv7hnYs5qQ&amp;t=image"" /></a>Kỳ thủ số ba Việt Nam, Lê Tuấn Minh gục đầu xuống bàn, rồi đập tay vào đầu khi thua trên thế thắng Pranav Venkatesh tại giải đồng đội cờ nhanh thế giới 2025.",2025-06-14T16:11:38+07:00,https://i1-thethao.vnecdn.net/2025/06/14/le-tua-n-minh-1749891504-6873-1749891956.gif?w=1200&h=0&q=100&dpr=1&fit=crop&s=EwJhfiRfHp2oAv7hnYs5qQ&t=image,Vnexpress,kỳ thủ số ba việt nam lê tuấn minh gục đầu xuống bàn rồi đập tay vào đầu khi thua trên thế thắng pranav venkatesh tại giải đồng đội cờ nhanh thế giới 2025,kỳ_thủ ba việt nam lê tuấn minh gục đầu bàn đập tay đầu thua thắng pranav venkatesh giải đồng_đội cờ nhanh thế_giới 2025,6
Thêm hai tướng Iran thiệt mạng trong đòn không kích của Israel,https://vnexpress.net/them-hai-tuong-iran-thiet-mang-trong-don-khong-kich-cua-israel-4898855.html,"<a href=""https://vnexpress.net/them-hai-tuong-iran-thiet-mang-trong-don-khong-kich-cua-israel-4898855.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/tuong-iran-1-tile-1749889328-1-8945-1212-1749890208.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=x315WXsWcjrKZ7bHTji58Q"" /></a>Hai tướng Iran thiệt mạng trong đòn không kích của Israel, khi Tel Aviv tiếp tục tấn công vào năng lực quân sự và hạt nhân của Tehran.",2025-06-14T16:10:37+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/tuong-iran-1-tile-1749889328-1-8945-1212-1749890208.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=x315WXsWcjrKZ7bHTji58Q,Vnexpress,hai tướng iran thiệt mạng trong đòn không kích của israel khi tel aviv tiếp tục tấn công vào năng lực quân sự và hạt nhân của tehran,hai tướng iran thiệt_mạng đòn không_kích israel tel aviv tiếp_tục tấn_công năng_lực quân_sự hạt_nhân tehran,0
Kết quả sau khi 'đau ví' vì tốn 208 triệu lắp điện mặt trời,https://vnexpress.net/tien-dien-thang-5-tang-dot-bien-gia-dinh-toi-lap-nang-luong-mat-troi-4898778.html,"<a href=""https://vnexpress.net/tien-dien-thang-5-tang-dot-bien-gia-dinh-toi-lap-nang-luong-mat-troi-4898778.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/nangluongmattroi-1749875803-8188-1749875863.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=W3cfKVIRVkpd7m_LP0m3Vg"" /></a>'Đau hết cả ví' vì bỏ số tiền lớn cùng lúc lắp điện mặt trời nhưng đổi lại bây giờ nhà tôi xài điện thả ga.",2025-06-14T16:00:00+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/nangluongmattroi-1749875803-8188-1749875863.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=W3cfKVIRVkpd7m_LP0m3Vg,Vnexpress,đau hết cả ví vì bỏ số tiền lớn cùng lúc lắp điện mặt trời nhưng đổi lại bây giờ nhà tôi xài điện thả ga,đau hết ví bỏ tiền lắp điện mặt_trời đổi bây_giờ xài điện thả ga,1
"Em thích những tối yên bình, bên anh chia sẻ cuộc sống",https://vnexpress.net/em-thich-nhung-toi-yen-binh-ben-anh-chia-se-cuoc-song-4897987.html,"Em thích những buổi tối yên bình, một bữa cơm đơn giản, một tách trà, những câu chuyện nhỏ sau một ngày dài.",2025-06-14T16:00:00+07:00,,Vnexpress,em thích những buổi tối yên bình một bữa cơm đơn giản một tách trà những câu chuyện nhỏ sau một ngày dài,thích buổi tối yên bình bữa cơm đơn_giản tách trà câu_chuyện nhỏ dài,7
"HUTECH liên kết đào tạo với ĐH Lincoln, Mỹ",https://vnexpress.net/hutech-lien-ket-dao-tao-voi-dh-lincoln-my-4898597.html,"<a href=""https://vnexpress.net/hutech-lien-ket-dao-tao-voi-dh-lincoln-my-4898597.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/image001-1749886315-1749886488-2382-1749886500.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=Qi4t3Jf6f5zSZoc2rBNzKw"" /></a>Trường Đại học Công nghệ TP HCM (HUTECH) cùng Đại học Lincoln (Mỹ) đào tạo cử nhân Quản trị kinh doanh (BBA), trang bị kiến thức và kỹ năng quản trị theo chuẩn quốc tế.",2025-06-14T16:00:00+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/image001-1749886315-1749886488-2382-1749886500.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Qi4t3Jf6f5zSZoc2rBNzKw,Vnexpress,trường đại học công nghệ tp hcm hutech cùng đại học lincoln mỹ đào tạo cử nhân quản trị kinh doanh bba trang bị kiến thức và kỹ năng quản trị theo chuẩn quốc tế,trường đại_học công_nghệ tp hcm hutech đại_học lincoln mỹ đào_tạo cử_nhân quản_trị kinh_doanh bba trang_bị kiến_thức kỹ_năng quản_trị chuẩn quốc_tế,3
Đại học Bách khoa Hà Nội tăng học phí,https://vnexpress.net/hoc-phi-dai-hoc-bach-khoa-ha-noi-nam-2025-4898869.html,"<a href=""https://vnexpress.net/hoc-phi-dai-hoc-bach-khoa-ha-noi-nam-2025-4898869.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/506602627-1075229171397599-234-7202-1847-1749890808.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=QJbIr2V4Bu4E_WOrQovhJg"" /></a>Học phí Đại học Bách khoa Hà Nội từ năm tới là khoảng 28-90 triệu đồng, tăng 3-5 triệu đồng so với hiện nay.",2025-06-14T15:52:59+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/506602627-1075229171397599-234-7202-1847-1749890808.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=QJbIr2V4Bu4E_WOrQovhJg,Vnexpress,học phí đại học bách khoa hà nội tư năm tơi la khoảng 2890 triệu đồng tăng 35 triệu đồng so với hiện nay,học_phí đại_học bách_khoa hà_nội tư tơi la khoảng 2890 triệu đồng tăng 35 triệu đồng hiện_nay,3
Người đàn ông bám capô hơn 100 m sau va chạm giao thông,https://vnexpress.net/nguoi-dan-ong-bam-capo-hon-100-m-sau-va-cham-giao-thong-4898830.html,"<a href=""https://vnexpress.net/nguoi-dan-ong-bam-capo-hon-100-m-sau-va-cham-giao-thong-4898830.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/vachamgiaothonghatinh-17498818-3227-3335-1749882218.gif?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=gf1VHut2k_lSiHWnc3ddpw&amp;t=image"" /></a>Sau va chạm giữa hai ôtô trên đường Hải Thượng Lãn Ông, người đàn ông 53 tuổi bám lên nắp capô xe đối phương, bị đẩy đi hơn 100 m.",2025-06-14T15:45:12+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/vachamgiaothonghatinh-17498818-3227-3335-1749882218.gif?w=1200&h=0&q=100&dpr=1&fit=crop&s=gf1VHut2k_lSiHWnc3ddpw&t=image,Vnexpress,sau va chạm giữa hai ôtô trên đường hải thượng lãn ông người đàn ông 53 tuổi bám lên nắp capô xe đối phương bị đẩy đi hơn 100 m,va_chạm hai ôtô đường hải thượng lãn đàn_ông 53 tuổi bám nắp capô xe đối_phương đẩy 100 m,4
